ID,Device,Group,Sensor
206379,"chbas3-nsw01a.helvetia.ch",VB3,"System Health CPU"
177849,"atgrea-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Freistadt 10.34.0.0","System Health CPU"
182419,"atlina-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Linz 10.34.8.0","System Health CPU"
203869,"chmohb-nsw01a.helvetia.ch",Monthey,"System Health CPU"
124320,"defra1-nts01a.helvetia.ch","Terminal Server TSM","PING 976"
203423,"chwila-nsw01a.helvetia.ch",Wil,"System Health CPU"
206119,"chbas2-nsw03a.helvetia.ch",VB2,"System Health CPU"
173477,"atwoea-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Woergl 10.36.8.0","PING 308"
152233,"ateisa-sbfp001-amt.helvetia.at","GS Eisenstadt 10.32.4.0","PING 136"
155487,"atsala-sbfp001.helvetia.at","GS Salzburg 10.35.12.0","PING 346"
153467,"atvila-sbfp001.helvetia.at (deployment.helvetia.at)","GS Villach 10.33.32.0","PING 1022"
152821,"deployment.helvetia.at (atwiea-sbfp001.helvetia.at)","GS Wien Salztorgasse 10.32.28.0","PING 193"
155613,"debera-vodafone.helvetia.de","Aussenstelle Berlin","PING 618"
154179,"dehana-nsw01a","Aussenstelle Hannover","PING 100"
154199,"vmhannover.helvetia.de","Aussenstelle Hannover","PING 179"
142990,"defra5-nsw03a.helvetia.de (defra5-nsw03a) [Cisco IOS Cisco Device]",Weissadlergasse,"PING 40"
159582,"defra5-nda01a.helvetia.de (defra5-nda01a) [Cisco IOS Cisco Device]","Core Switches","PING 47"
177854,"atfrea-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Grein 10.34.4.0","System Health CPU"
178716,"atvila-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Villach 10.33.32.0","System Health CPU"
206359,"chbas3-nsw03a.helvetia.ch",VB3,"System Health CPU"
206369,"chbas3-nsw02a.helvetia.ch",VB3,"System Health CPU"
179472,"atpoea-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS St. Poelten 10.32.16.0","System Health CPU"
152320,"ateisa-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Eisenstadt 10.32.4.0","PING 56"
179066,"ateisa-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Eisenstadt 10.32.4.0","System Health CPU"
179509,"atpoea-nsw01c.helvetia.at [Cisco IOS Cisco Device]","GS St. Poelten 10.32.16.0","System Health CPU"
179504,"atpoea-nsw01b.helvetia.at [Cisco IOS Cisco Device]","GS St. Poelten 10.32.16.0","System Health CPU"
182427,"atgmua-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Gmunden 10.35.8.0","System Health CPU"
173468,"anker-linz_landstr.vipnet.uta.at (atlina-nro01a.helvetia.at) [Cisco IOS Cisco Device]","GS Linz 10.34.8.0","PING 307"
156265,"anker-eferding.vipnet.uta.at (atefea-nro01a.helvetia.at) [Cisco IOS Cisco Device]","GS Eferding 10.35.4.0","PING 1094"
152528,"atraba-sbfp001.helvetia.at","GS Rabenstein 10.32.12.0","PING 67"
177816,"atgraa-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Graz 10.33.4.0","System Health CPU"
204920,"ip-heva-ch-rei-r-006.helvetia.ch",Reinach,"System Health CPU"
204914,"ip-heva-ch-rei-r-006.helvetia.ch",Reinach,Uptime
155540,"deployment.helvetia.at","GS Innsbruck 10.36.4.0","PING 392"
192026,"itmil1-nro02a.helvetia.it",IT,Traceroute
154773,"atlina-sbfp001.helvetia.at","GS Linz 10.34.8.0","PING 149"
173429,"atlina-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Linz 10.34.8.0","PING 301"
173138,"Tele2-Router anker-munderfing_gewerbepark.vipnet.uta.at (10.35.24.250) [Cisco IOS Cisco Device]","GS Munderfing 10.35.24.0","PING 274"
300,"","",""
